"","topic","term","beta"
"1",1,"can",0.0266482530608308
"2",1,"like",0.0263761805945743
"3",1,"got",0.0257211086226673
"4",1,"dont",0.0254714648645605
"5",1,"look",0.0220156447498434
"6",1,"stay",0.0215245629685819
"7",1,"way",0.0211751484518213
"8",1,"now",0.02064771558696
"9",1,"take",0.0198822618775667
"10",1,"say",0.0191792628537201
"11",1,"love",0.0184329052696436
"12",1,"hey",0.0168521228419802
"13",1,"just",0.0164951546891217
"14",1,"cause",0.0147075393783767
"15",1,"cant",0.0147041070274249
"16",2,"back",0.0490738366097585
"17",2,"baby",0.040610331702409
"18",2,"come",0.0364550696352369
"19",2,"ever",0.025204112928637
"20",2,"wish",0.0251443208580913
"21",2,"thats",0.0232001636682071
"22",2,"never",0.02178542267305
"23",2,"like",0.0195555309739385
"24",2,"youre",0.0189607451172256
"25",2,"said",0.0188745037973821
"26",2,"now",0.0186856982733632
"27",2,"right",0.016206133714316
"28",2,"cause",0.0147238362870541
"29",2,"want",0.0128543244764724
"30",2,"see",0.0128288075957423
"31",3,"never",0.0287397745421501
"32",3,"love",0.026578074437744
"33",3,"time",0.0259862026491199
"34",3,"still",0.0199470150166704
"35",3,"think",0.0164659113839514
"36",3,"like",0.0144248765930755
"37",3,"now",0.0142657201779528
"38",3,"didnt",0.0141244580915385
"39",3,"just",0.0135321640829
"40",3,"know",0.0124274091800896
"41",3,"heart",0.0121394314473454
"42",3,"said",0.0121237374196789
"43",3,"good",0.01115158220401
"44",3,"cause",0.0109703445387489
"45",3,"around",0.0102219814408018
"46",4,"know",0.0489510876358569
"47",4,"just",0.0270876653152485
"48",4,"like",0.0235855677909974
"49",4,"see",0.0232004012803489
"50",4,"gonna",0.022490781831015
"51",4,"youre",0.0216895330569569
"52",4,"one",0.0206081760339737
"53",4,"keep",0.0180898370140103
"54",4,"cause",0.0170182353213331
"55",4,"never",0.0169091255482864
"56",4,"eyes",0.0157347569530179
"57",4,"better",0.0146910553223282
"58",4,"man",0.0140271360038297
"59",4,"now",0.0134913159364681
"60",4,"yeah",0.0109552635075174
"61",5,"dont",0.0388289342170365
"62",5,"like",0.0325649815275807
"63",5,"taylor",0.0293078556791771
"64",5,"ooh",0.0286268893797383
"65",5,"swift",0.0284656773270102
"66",5,"wanna",0.0275785441959365
"67",5,"just",0.0242803513750001
"68",5,"ill",0.0214154345581827
"69",5,"say",0.0186919555815153
"70",5,"call",0.0172305433735975
"71",5,"want",0.0171638381087636
"72",5,"time",0.0153133381925572
"73",5,"know",0.0149878706957217
"74",5,"one",0.0149183235076764
"75",5,"youre",0.014358273856661
